Updated by GitHub Actions,Race/Faction,Tier,Damage Min,Damage Max,Attack,Focus,Speed,Command,Defense,HP,Unique Item,Unique Item Effect,Weapon,Chest Armor,Helmet,Accessory,Set Effect,Troop Bonus,Skill 1 Name,Skill 1 Type,Skill 1 Effect Lv1,Skill 1 Effect Lv5,Skill 1 Effect Lv10,Skill 1 Cooldown,Skill 1 Damage Multiplier,Skill 1 Damage Reduction,Skill 1 Proc Chance,Skill 1 Follow-Up Effect,Skill 2 Name,Skill 2 Type,Skill 2 Effect Lv1,Skill 2 Effect Lv5,Skill 2 Effect Lv10,Skill 2 Cooldown,Skill 2 Damage Multiplier,Skill 2 Damage Reduction,Skill 2 Proc Chance,Skill 2 Follow-Up Effect,Skill 3 Name,Skill 3 Type,Skill 3 Effect Lv1,Skill 3 Effect Lv5,Skill 3 Effect Lv10,Skill 3 Cooldown,Skill 3 Damage Multiplier,Skill 3 Damage Reduction,Skill 3 Proc Chance,Skill 3 Follow-Up Effect,Skill 4 Name,Skill 4 Type,Skill 4 Effect Lv1,Skill 4 Effect Lv5,Skill 4 Effect Lv10,Skill 4 Cooldown,Skill 4 Damage Multiplier,Skill 4 Damage Reduction,Skill 4 Proc Chance,Skill 4 Follow-Up Effect
Adunae,Evil Man,Legendary,,,39,39,33,18,45,3723,Forsaken Scythe,"Commander gains +6 Attack, +6 Focus, +145 HP, and unit Attack +4.",,,,,,Undead Units,Spell Seeker,Focus Damage,Deals 24.0% Focus Damage to 2 formations.,Deals 120.0% Focus Damage to 2 formations.,Deals 240.0% Focus Damage to 2 formations.,1 Round,Varies,,1,,Reaper,Physical Damage,Deals 24.0% Physical Damage to 2 formations.,Deals 120.0% Physical Damage to 2 formations.,Deals 240.0% Physical Damage to 2 formations.,1 Round,Varies,,1,,Black Númenórean,Passive Buff,Normal attacks deal +18% Focus Damage.,Normal attacks deal +90% Focus Damage.,Normal attacks deal +180% Focus Damage.,Passive,Varies,,1,,Betrayer,Army Buff,2 allied formations deal +1% Damage but suffer Heal Block.,2 allied formations deal +5% Damage but suffer Heal Block.,2 allied formations deal +10% Damage but suffer Heal Block.,Passive,,,1,
Sauron,Maiar,Tier 5,22.0,24.0,33,30,29,180,5185,Smiths Gift,"[Commander] Command +30, [Commander] Focus +6, [Unit] Attack +5","Increases the Attack and Focus of 1 enemy Commander by 6.0 each round for the first 2 rounds. After Round 3, reduces the enemy Commander’s Attack, Focus, and Initiative by 6.0 each round.",Deceiver,Cooldown,Damage received by 3 enemy formation(s) +1.0% → 10.0%.,"Level 5: On Round 1, has a 35.0% chance to inflict Madness on the target.",Level 10: Damage received by targets affected by Madness +5.0%.,Passive,Gorthaur,Cooldown,Deals 39.0% → 390.0% Focus Damage to 1 enemy formation(s).,Level 5: This skill gains Keen Eye.,Level 10: Focus Damage received by the target +15.0% for 2 round(s).,2 Rounds,Lord Of Gifts,Cooldown,Deals 26.0% → 260.0% Focus Damage to 2 formation(s) and has 30% chance to inflict Madness on the target for 1 round(s).,Level 5: [Commander] Focus +5.,Level 10: Healing effects received by the target -50.0%.,2 Rounds,The Enemy,Cooldown,"Attack, Defense and Focus of 3 enemy Commander(s) -1.5% → -15.0%.",Level 5: Immune to Stun.,Level 10: Stat reduction effects affect 4 enemy commander(s).,Passive,Varies,,Black Arts,Focus Damage,Deals 30% Focus Damage to 2 enemies.,Deals 150% Focus Damage to 2 enemies.,Deals 300% Focus Damage to 2 enemies.,2 Rounds,Varies,,1,,Lord of Gifts,Buff,Allied units gain +2.0% Damage and +2.0% Focus Resistance.,Allied units gain +10.0% Damage and +10.0% Focus Resistance.,Allied units gain +20.0% Damage and +20.0% Focus Resistance.,Passive,,,1,
Aragorn II,Men,Tier 3,,,52,25,42,16,52,3723,Andúril,"Commander gains +6 Attack, +215 HP; Units gain +4 Attack, +4 Defense.",,,,,,Men Units,Andúril,Physical Damage,Deals 42.0% Physical Damage to 2 enemy formations.,Deals 210.0% Physical Damage to 2 enemy formations.,Deals 420.0% Physical Damage to 2 enemy formations.,2 Rounds,Varies,,1,,Dúnedain Chieftain,Passive Buff,Increases Damage dealt by 3 allied formations by 1.5% for the first 5 rounds.,Increases Damage dealt by 3 allied formations by 7.5% for the first 5 rounds.,Increases Damage dealt by 3 allied formations by 15.0% for the first 5 rounds.,Passive,Varies,Varies,1,,Strider,Physical Damage,Deals 54.0% Physical Damage to 1 enemy formation.,Deals 270.0% Physical Damage to 1 enemy formation.,Deals 540.0% Physical Damage to 1 enemy formation.,1 Round,Varies,,1,,Elessar,Healing,Restores 18.0% HP to 2 allied formations (modified by Focus stat).,Restores 90.0% HP to 2 allied formations (modified by Focus stat).,Restores 180.0% HP to 2 allied formations (modified by Focus stat).,1 Round,,,1,
Legolas,Elf,Tier 2,,,44,24,41,16,41,3668,Bow of the Galadhrim,"[Commander] HP +145, Attack +6; [Units] Attack +5, Defense +5; [Commander] Normal attacks inflict an additional 125.0% Physical Damage.",,,,,,Elven Units,Greenleaf,Physical Damage,Deals 20.0% Physical Damage once to 2 enemy formations.,Deals 110.0% Physical Damage once to 2 enemy formations.,Deals 200.0% Physical Damage once to 2 enemy formations.,1 Round,Varies,,1,30.0% chance to deal an additional Poison Damage once.,Grey Elf,Passive Buff,The Commander and Elf units in the commander's formation have a 2.0% chance to Evade damage.,The Commander and Elf units in the commander's formation have a 11.0% chance to Evade damage.,The Commander and Elf units in the commander's formation have a 20.0% chance to Evade damage.,Passive,,,Varies,[Commander] Initiative +3; [Units] Initiative (Elf) +3.0.,The Fair,Physical Damage,Deals 55.0% Physical Damage to 1 enemy formation.,Deals 302.5% Physical Damage to 1 enemy formation.,Deals 550.0% Physical Damage to 1 enemy formation.,2 Rounds,Varies,,1,Commander's formation gains Initiative in the next round.,Dwarf Friend,Physical Damage,Deals 30.0% Physical Damage to 2 enemy formations.,Deals 165.0% Physical Damage to 2 enemy formations.,Deals 300.0% Physical Damage to 2 enemy formations.,2 Rounds,Varies,,1,This skill gains Incursion.
Éomer,Men,Tier 2,16.0,18.0,78,18,51,16,35,3981,Firefoot's Reins,"[Commander] HP +145, Attack +6; [Units] Attack +4, Defense +4; Éomer and his formation gain the following effects in sequence: Initiative reaches 30: The next instance of damage dealt by Éomer +30.0%. Initiative reaches 50: Mounted Units in Éomer’s formation prioritize attacks on enemy Ranged units.",,,,,,,Marshal of the Mark,Physical Damage,Deals 38.0% Physical Damage to 2 enemy formations.,Deals 209.0% Physical Damage to 2 enemy formations.,Deals 380.0% Physical Damage to 2 enemy formations.,2 Rounds,[Commander] Attack +5.0,[Commander] Initiative +5.0,1,,Riders of Rohan,Passive Buff,Commander and Mounted Units in the commander’s formation have a 60.0% chance to gain damage received -3.0%.,Commander and Mounted Units in the commander’s formation have a 60.0% chance to gain damage received -16.5%.,Commander and Mounted Units in the commander’s formation have a 60.0% chance to gain damage received -30.0%.,Passive,Mounted Units in the commander's formation gain Initiative.,[Unit] Initiative +5.0.,1,,Eadig,Physical Damage,Deals 48.0% Physical Damage to 1 enemy formation.,Deals 264.0% Physical Damage to 1 enemy formation.,Deals 480.0% Physical Damage to 1 enemy formation.,1 Round,30.0% chance to deal additional damage once.,Damage dealt +10.0% for 1 round(s).,1,,Eored Leader,Passive Buff,"When 3 allied Mounted Units formations launch normal attacks, gain Follow-Up Damage: has a 50.0% chance to deal an additional 3.0% damage.","When 3 allied Mounted Units formations launch normal attacks, gain Follow-Up Damage: has a 50.0% chance to deal an additional 16.5% damage.","When 3 allied Mounted Units formations launch normal attacks, gain Follow-Up Damage: has a 50.0% chance to deal an additional 30.0% damage.",Passive,Increases chance to deal additional damage to 75.0%.,[Unit] HP +10.0%.,1,
Haldir,Elf,Tier 2,12.0,14.0,44,15,35,45,37,3462,Marchwarden Bow,"[Commander] HP +145, Attack +4; [Units] Attack +5, Defense +5; Elf units in the Commander's formation gain Initiative and their Defense +3.0 → 18.0 when battling on woodland.",,,,,,,Marchwarden of Lorien,Physical Damage,Deals 25.0% Physical Damage to 2 enemy formations.,Deals 137.5% Physical Damage to 2 enemy formations.,Deals 250.0% Physical Damage to 2 enemy formations.,2 Rounds,,,1,,Wood Elf,Passive Buff,Defense of Elf units in 2 allied formations +1.5.,Defense of Elf units in 2 allied formations +8.25.,Defense of Elf units in 2 allied formations +15.0.,Passive,Effect modified by Initiative stat,[Commander] Defense +5.0,1,,Silvan Elf,Passive Buff,Commander’s normal attacks deal additional 10.0% Physical Damage and 6.0% Poison Damage.,Commander’s normal attacks deal additional 55.0% Physical Damage and 33.0% Poison Damage.,Commander’s normal attacks deal additional 100.0% Physical Damage and 60.0% Poison Damage.,Passive,Target's Defense -10.0 for 2 rounds,Poison Damage lasts 2 rounds,1,,Galadhrim,Passive Buff,Attack of ranged units in 2 allied formations +1.5.,Attack of ranged units in 2 allied formations +8.25.,Attack of ranged units in 2 allied formations +15.0.,Passive,Effect modified by Command stat,Defense of Ranged units +6.0,1,
Arwen,Elf,Tier 3,12.0,13.0,19,54,41,105,30,3289,Hadhafang,"[Commander] Command +30; [Commander] Focus +5; [Units] Attack +4, Defense +5; [Arwen] Recovery effectiveness +15.0% and Focus Damage dealt +15.0% when the army includes both Elves and Men.",,,,,,,Lady of Rivendell,Focus Damage,Deals 13.0% Focus Damage twice.,Deals 71.5% Focus Damage twice.,Deals 130.0% Focus Damage twice.,1 Round,Focus Damage +8.0%,[Commander] Focus +3.0%,1,,Undómiel,Passive Buff,"Each round, for the first 2 instances of Physical Damage received by 2 allied formations, gain Follow-up Healing (40.0% chance to recover 12.0% HP).","Each round, for the first 2 instances of Physical Damage received by 2 allied formations, gain Follow-up Healing (40.0% chance to recover 66.0% HP).","Each round, for the first 2 instances of Physical Damage received by 2 allied formations, gain Follow-up Healing (40.0% chance to recover 120.0% HP).",Passive,Effect modified by Focus stat,Recovers HP upon receiving damage,1,,Half Elven,Passive Buff,"Attack of Man or Elf units in the Commander’s formation +3.0, and their Defense +3.0.","Attack of Man or Elf units in the Commander’s formation +16.5, and their Defense +16.5.","Attack of Man or Elf units in the Commander’s formation +30.0, and their Defense +30.0.",Passive,Effect modified by Command stat,[Unit] Attack (Man/Elf) +3.0,1,,Queen of the Reunited Kingdom,Passive Buff,Defense of 3 allied formations +4.0.,Defense of 3 allied formations +22.0.,Defense of 3 allied formations +40.0.,Passive,Decreases by 1/5 each time damage is received,Attack +8.0 in formations comprised of Man units. Lasts 10 rounds.,1,
Théoden,Men,Tier 2,14.0,16.0,40,34,51,112,37,3503,Snowmane's Reins,"[Commander] Command +30; [Commander] Defense +4; [Units] Attack +6; [Units] Defense +4; Reduces damage received by this formation’s Light Cavalry, Outrider, Cavalier, and Marshal by 25.0%.",,,,,,,The Renewed,Passive Buff,Damage dealt by the commander's formation +3.0%.,Damage dealt by the commander's formation +16.5%.,Damage dealt by the commander's formation +30.0%.,Passive,Effect modified by the Commander's Initiative stat.,The commander's formation gains Stun Immunity.,1,,Rohirrim,Passive Buff,"When Mounted Units in 3 allied formations deal damage, Attack +0.5. Stacks up to 3 times.","When Mounted Units in 3 allied formations deal damage, Attack +2.75. Stacks up to 3 times.","When Mounted Units in 3 allied formations deal damage, Attack +5.0. Stacks up to 3 times.",Passive,Increases the maximum stacks to 4.,[Unit] Damage Stat +10.0%.,1,,Horsemaster,Passive Buff,Attack of Mounted units in 3 allied formations +1.5.,Attack of Mounted units in 3 allied formations +8.25.,Attack of Mounted units in 3 allied formations +15.0.,Passive,Effect modified by Command stat.,Mounted Units in the commander's formation gain Initiative.,1,[Unit] HP (Mounted Units) +1.0.,Éored Leader,Passive Buff,"When 3 allied Mounted Units formations launch normal attacks, gain Follow-Up Damage: has a 50.0% chance to deal an additional 3.0% damage.","When 3 allied Mounted Units formations launch normal attacks, gain Follow-Up Damage: has a 50.0% chance to deal an additional 16.5% damage.","When 3 allied Mounted Units formations launch normal attacks, gain Follow-Up Damage: has a 50.0% chance to deal an additional 30.0% damage.",Passive,Increases chance to deal additional damage to 75.0%.,[Unit] HP +10.0%.,1,
Gandalf the White,Maiar,Tier 3,22.0,24.0,32,75,37,167,37,4274,Narya Ring of Fire,"[Commander] Command +30; [Commander] Focus +6; [Units] Attack +5; [Units] Defense +5; After the Commander launches normal attacks, deals 60.0% Physical Damage once and 60.0% Focus Damage once. Reduces this formation’s damage received by 6.0% when the enemy army includes Orcs.",,,,,,,The White,Focus Damage,Deals 45.0% Focus Damage to 1 enemy formation.,Deals 247.5% Focus Damage to 1 enemy formation.,Deals 450.0% Focus Damage to 1 enemy formation.,1 Round,[Commander] Focus +5.0.,25.0% chance to Stun the target for 1 round(s).,1,,Wizard,Focus Damage,Deals 27.0% Focus Damage to 1-2 enemy formations.,Deals 148.5% Focus Damage to 1-2 enemy formations.,Deals 270.0% Focus Damage to 1-2 enemy formations.,1 Round,Target's Defense -10.0 for 1 round(s).,Focus Damage dealt +5.0% for 1 round(s).,1,,White Council,Passive Buff,4 allied formations receive -1.8% damage from the first 5 hit(s) taken.,4 allied formations receive -9.9% damage from the first 5 hit(s) taken.,4 allied formations receive -18.0% damage from the first 5 hit(s) taken.,Passive,Effect instances increased to 6.,Effect instances increased to 7.,1,,White Rider,Passive Buff,"First 3 rounds, damage received by 2 enemy formations +2.5%.","First 3 rounds, damage received by 2 enemy formations +13.75%.","First 3 rounds, damage received by 2 enemy formations +25.0%.",Passive,Duration increased to 4 rounds.,The number of targets increases to 3 formations.,1,
Elrond,Elf,Tier 3,16.0,18.0,47,62,35,156,47,4556,Vilya Ring of Air,"[Commander] Command +30; [Commander] Attack +5; [Units] Attack +6; [Units] Defense +5; After launching normal attacks, deals 70.0% Damage once to 1 Enemy Formation(s), and inflicts Pursuit.",,,,,,,Lord of Imladris,Passive Buff,The Commander’s formation and 1 allied formation ignore 1.0% of the enemy’s Defense.,The Commander’s formation and 1 allied formation ignore 5.5% of the enemy’s Defense.,The Commander’s formation and 1 allied formation ignore 10.0% of the enemy’s Defense.,1 Round,Effect modified by Command stat.,"[Unit] Attack (Man, Elf) +5.0.",1,,Half Elven,Passive Buff,"Attack of Man or Elf units in the Commander’s formation +3.0, and their Defense +3.0.","Attack of Man or Elf units in the Commander’s formation +16.5, and their Defense +16.5.","Attack of Man or Elf units in the Commander’s formation +30.0, and their Defense +30.0.",Passive,Effect modified by Command stat.,[Unit] Attack (Man/Elf) +3.0.,1,,Elf Lord,Passive Buff,Attacks inflicted by the commander’s formation reduce the target’s Defense by 1.5.,Attacks inflicted by the commander’s formation reduce the target’s Defense by 8.25.,Attacks inflicted by the commander’s formation reduce the target’s Defense by 15.0.,Passive,"At level 5, also reduces Attack by the same value for 1 round.","At level 10, also reduces Focus by the same value for 1 round.",1,,Vilya’s Ringbearer,Passive Buff,"For the first 4 rounds, the commander’s formation and 1 allied formation have a 7.0% chance to gain Dual Blows.","For the first 4 rounds, the commander’s formation and 1 allied formation have a 38.5% chance to gain Dual Blows.","For the first 4 rounds, the commander’s formation and 1 allied formation have a 70.0% chance to gain Dual Blows.",Passive,[Commander] Initiative +3.0.,Gains Initiative in the first round.,1,
Dwalin,Dwarf,Tier 2,14.0,17.0,49,8,31,14,31,3431,Twin Axes,[Commander] HP +215; [Commander] Attack +4; [Units] Attack +4; [Units] Defense +4; Dwalin’s Normal Attacks have a 20% chance of Damage dealt +16.6% → 100.0%.,,,,,,,Experienced Warrior,Physical Damage,Deals 20.0% Physical Damage to 2 enemy formations.,Deals 110.0% Physical Damage to 2 enemy formations.,Deals 200.0% Physical Damage to 2 enemy formations.,1 Round,"Attack +6.0 upon dealing this damage, up to 5 stack(s).",[Commander] Attack +5.0.,1,,Musician,Healing,Restores 42.0% HP to Commander’s formation.,Restores 231.0% HP to Commander’s formation.,Restores 420.0% HP to Commander’s formation.,2 Rounds,Also purifies 1 debuff.,[Unit] Defense +10.0.,1,,Durin’s Blood,Physical Damage,Deals 70.0% Physical Damage to 1-2 enemy formations.,Deals 385.0% Physical Damage to 1-2 enemy formations.,Deals 700.0% Physical Damage to 1-2 enemy formations.,2 Rounds,Skill Damage dealt +10.0% for 3 rounds.,[Commander] Attack +5.0.,1,,Adventurer,Passive Buff,"For the first 7 rounds, Attack of Dwarf units in the commander’s formation +4.0.","For the first 7 rounds, Attack of Dwarf units in the commander’s formation +22.0.","For the first 7 rounds, Attack of Dwarf units in the commander’s formation +40.0.",Passive,Extends effect duration to 8 rounds.,Extends effect duration to 10 rounds.,1,
